City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
258,protaras,35.0125,34.0583,286.48,80,10,2.24,CY,1708212493
259,vilhena,-12.7406,-60.1458,298.27,94,40,1.03,BR,1708212494
260,munuf,30.4658,30.9316,283.99,87,4,1.5,EG,1708212495
261,sandnessjoen,66.0217,12.6316,271.44,98,96,2.07,NO,1708212495
262,sola,-13.8833,167.55,301.21,78,83,2.44,VU,1708212496
263,pitanga,-24.7572,-51.7614,295.76,70,86,1.45,BR,1708212496
264,alofi,-19.0595,-169.9187,303.09,58,99,7.72,NU,1708212497
265,talara,-4.5772,-81.2719,300.57,78,100,3.6,PE,1708212497
266,atasu,48.6814,71.6433,243.8,97,6,3.9,KZ,1708212498
267,qashyr,53.0675,76.1036,249.53,99,99,3.22,KZ,1708212499
268,buncrana,55.1333,-7.45,283.59,88,81,4.73,IE,1708212499
269,saint-joseph,-21.3667,55.6167,299.36,81,96,7.17,RE,1708212500
270,nieuw amsterdam,5.8833,-55.0833,300.24,83,20,1.03,SR,1708212500
271,walvis bay,-22.9575,14.5053,290.15,84,8,3.28,NA,1708212501
272,cabedelo,-6.9811,-34.8339,301.52,81,13,3.84,BR,1708212501
273,jerome,42.7241,-114.5186,277.86,57,0,9.26,US,1708212502
274,zacatlan,19.9333,-97.9667,285.18,79,100,0.41,MX,1708212503
275,illizi,26.4833,8.4667,291.04,19,95,1.29,DZ,1708212503
276,kruisfontein,-34.0033,24.7314,286.42,87,0,2.56,ZA,1708212504
277,santa rosa,14.3122,121.1114,299.27,76,14,4.22,PH,1708212235
278,aktobe,50.2797,57.2072,258.2,61,0,3.0,KZ,1708212506
279,jiangzi,28.95,89.6333,264.74,77,17,2.83,CN,1708212506
280,mishelevka,52.8575,103.1719,241.9,100,99,1.52,RU,1708212507
281,siluko,6.5386,5.1609,298.67,93,57,0.89,NG,1708212507
282,keflavik,64.0049,-22.5624,279.1,93,75,4.63,IS,1708212508
283,kirakira,-10.4544,161.9205,303.35,74,100,2.62,SB,1708212508
284,lamu,-2.2717,40.902,299.41,87,42,4.19,KE,1708212509
285,acarau,-2.8856,-40.12,300.05,82,74,4.28,BR,1708212395
286,villa ojo de agua,-29.5,-63.6938,300.01,46,1,3.72,AR,1708212510
287,baxter,46.3433,-94.2867,276.05,38,0,8.23,US,1708212511
288,lampazos de naranjo,27.0167,-100.5167,284.09,51,100,4.26,MX,1708212511
289,okha,53.5739,142.9478,260.18,96,100,1.49,RU,1708212512
290,port elizabeth,-33.918,25.5701,288.32,80,0,0.89,ZA,1708212512
291,robertsport,6.7533,-11.3686,300.62,91,14,4.28,LR,1708212513
292,as sulayyil,20.4607,45.5779,296.29,33,33,2.77,SA,1708212513
293,plettenberg bay,-34.0527,23.3716,288.02,76,0,1.9,ZA,1708212514
294,tibati,6.4667,12.6333,297.26,21,95,2.08,CM,1708212514
295,petauke,-14.2426,31.3253,293.14,91,95,1.52,ZM,1708212515
296,la ronge,55.1001,-105.2842,273.29,43,20,5.14,CA,1708212515
297,lagunillas,10.1301,-71.2595,303.78,59,33,1.79,VE,1708212516
298,pooler,32.1155,-81.2471,289.19,65,100,5.66,US,1708212516
299,kirovsk,48.6375,38.6428,268.93,84,20,1.56,UA,1708212517
300,north bay,46.3168,-79.4663,260.16,51,75,1.54,CA,1708212518
301,olonkinbyen,70.9221,-8.7187,270.51,73,63,6.56,SJ,1708212518
302,buka,40.8108,69.1986,273.27,95,100,2.67,UZ,1708212519
303,ifrane,33.3333,-5.25,278.91,52,3,3.12,MA,1708212519
304,nishinoomote,30.7333,131.0,287.46,82,75,1.54,JP,1708212520
305,college,64.8569,-147.8028,264.33,76,20,0.0,US,1708212520
306,san luis de la loma,17.2706,-100.8939,298.11,63,100,2.61,MX,1708212521
307,hilo,19.7297,-155.09,297.75,72,75,6.69,US,1708212521
308,malvan,16.0667,73.4667,296.51,58,8,2.13,IN,1708212522
309,isangel,-19.55,169.2667,303.21,70,20,5.14,VU,1708212522
310,vemalwada,18.4667,78.8833,293.58,37,2,2.0,IN,1708212523
311,padangsidempuan,1.3667,99.2667,295.08,99,96,1.47,ID,1708212523
312,praia da vitoria,38.7333,-27.0667,289.29,82,20,4.21,PT,1708212524
313,palekh,56.8028,41.8572,265.06,91,100,6.02,RU,1708212524
